Seniority,Function,Subject Line,Hook 1,Z_Contact Status,Email Opened,Email Replied
Director,Logistics,Your participation in the Retail-supply-chain-conference ,Impressed by your participation in the Retail Supply Chain Conference - Great insights on How to meet the constantly increasing customer demands. Had to reach out,Unresponsive,,
Director,Distribution,Your distribution expertise,"Looks like you've done it all in this industry - material management, business unit management, brand manager, and now leading global distribution. Would love to hear how technology is playing a part in your overall operations.",Attempting to Contact,,
VP,Supply Chain,Your employee visit,"Saw your Veterans Day post on LI. As someone who is a staunch advocate for appreciating and supporting frontline workers, your shout-out for SkillBridge stuck out to me.",Attempting to Contact,,
Director,Logistics,Your insights on AbbVie real-time visibility solutions ,Enjoyed watching your presentation on the project44 Youtube Channel and was so impressed with your background & your insights on why AbbVie introduced more supply chain digitalization & real-time visibility solutions that had to risk a cold email intro. ,Unresponsive,,
VP,Supply Chain,You + FLEXE Hybrid Logistics webinar,Impressed with your participation in the FLEXE Hybrid Logistics webinar - Great insights on the importance of having a flexible supply chain & on-demand warehouse. Has to reach out!,Unresponsive,,
VP,Distribution,"Your participation in ""Pursuing Power"" at Top Women in Hardware","Read about your participation in the event ""Pursuing Power"" at Top Women in Hardware & Building Supplies."" Super impressed with your insights and your background. Would love to connect with a distribution leader like yourself. ",Unresponsive,7/20/2022,
Director,Fulfillment,Your thoughts on inspiring creators,Saw your experience in the retail industry and was particularly intrigued by your operations expertise. I've been building startups in the retail space for a number of years and would to learn from your experience how you think about tech's role in enabling and empowering workers.,Attempting to Contact,11/18/2022,
Director,Fulfillment,your thoughts on development,I was reading about management and director development at Adidas and was wondering if fronline workers have similar development tools.,Attempting to Contact,,
Sr. Manager,Supply Chain,Brazilian Lean Challenge + Supply chain expert ,Impressed by your 1st place in the Brazilian Lean Challenge & by your impressive supply chain experience. Had to reach out!,Interested,11/21/2022,10/31/2022
Sr. Manager,Supply Chain,Your participation in How Advance Auto Parts Optimized Warehouse Management in the Cloud webinar ,Impressed with your participation in the webinar How Advance Auto Parts Optimized Warehouse Management in the Cloud - Great insights on developing IT strategies to create profitable tech solutions. Had to reach out!,Unresponsive,11/22/2022,
Director,Supply Chain,Question for a Top Women in Grocery,"Congrats on being named one of the 2022 Top Women in Grocery - This may be a long shot, but I am so impressed with your background that had to reach out in case you could spare a few moments.",Unresponsive,11/7/2022,
Director,Warehouse Operations,International founder seeking feedback ,"Came across your name in connection to your participation in the panel discussion ""Women in Tech."" As an international founder loved hearing your perspective about tech opportunities in the US market. I know this is a long shot, but I'd love to connect with a warehouse planning expert like yourself.",Unresponsive,,
Director,Warehouse Operations,Your 6+ years in warehouse operations ,"Super excited about how fast Aldis is growing across the USA, and I read that you were part of the grand opening of the eighth store in Brooklyn, NY. Currently, I am working in a warehouse operations tech platform that might be approaching market-ready status, but first I am trying to gather feedback from experience warehouse professionals like yourself. Would love to connect.",Unresponsive,,
VP,Distribution,Your recognition as Honoree in the Marketing Trailblazers category,"I know it's a little outdated, but Congrats on your recognition as an Honoree in the Marketing Trailblazers category by Cynopsis Media! This may be a long shot, and I'm sure that you are crazy busy, but I am so impressed with your background I had to reach out in case you could spare a few moments.",Unresponsive,8/2/2022,
Director,Distribution,Your article The GDPR will impact U.S. companies. Get ready!,"I know it's a little outdated, but I came across your name after reading your article ""The GDPR will impact U.S. companies. Get ready!"" I was super impressed with your publication, and I have to admit that I had no idea about the effects of European data protection regulations on US companies. I know this is a long shot, but I'd love to connect with a business development & distribution expert like yourself.",Unresponsive,8/2/2022,
Sr. Manager,Supply Chain,Your insights on human errors in an integrated supply chain model ,Read your article about human errors in an integrated supply chain model and was so impressed with your insight & experience that had to reach out!,Attempting to Contact,,
VP,Supply Chain,Insights on applying Blockchain to the tire distribution business ,Enjoyed your participation in the FreightWaves Youtube channel and was so impressed with your insights on applying blockchain to the tire distribution business that had to reach out! ,Disqualified,10/27/2022,10/25/2022
VP,Distribution,Your recognition by Supply Chain Digital,"Congrats on the recent recognition by Supply Chain Digital! This may be a long shot, and I'm sure that you are crazy busy, but I am so impressed with your background I had to reach out in case you could spare a few moments.",Unresponsive,8/2/2022,
Sr. Manager,Supply Chain,Production planning expert ,Came across your profile and was super impressed with your 7+ years of career at Anheuser-Busch & extensive expertise with production planning and warehousing operations. Had to reach out!,Unresponsive,11/7/2022,
Director,Warehouse Operations,Your 9+ years warehouse & operation experience ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your extensive warehouse & operation experience. Currently looking to source feedback on the project I'm working on from Sr. warehouse & operation execs in the alcoholic beverage manufacturing industry - would love to connect.",Unresponsive,,
VP,Supply Chain,Your participation in the Atlanta Region Board of the American Red Cross,Super impressed with your background and participation in the Atlanta Region Board of the American Red Cross. Would love to connect with a leader like yourself.  ,Unresponsive,7/20/2022,
VP,Distribution,Your amazing new house in front of the lake,"Came across your name while reading an article featuring your name titled ""Dallas family builds home overlooking Lake Tenkiller."" I loved everything about your property, but my favorite part is the view of the lake and, of course, your lovely dog. I know this is a long shot, but I'd love to connect with a business leader like yourself.",Interested,8/10/2022,7/20/2022
VP,Distribution,"Your participation in ""Key Trends In Healthcare"" ",Watched a youtube video featuring your name titled Key Trends In Healthcare with Rod Cruz. Super impressed with your insights into key trends in the healthcare industry and would be delighted to connect with a consumer distribution expert like yourself.,Unresponsive,,
Director,Supply Chain,Your participation in the IANA's on-demand webinar,Impressed with your participation in the IANA's on-demand webinar- Great insights on talent acquisition and development in Supply Chain. Had to reach out!,Unresponsive,,
VP,Supply Chain,Supply Chain operations as an enabler to delivering business strategy,"Read your article titled ""Supply Chain operations as an enabler to delivering business strategy."" Impressed with your insights on supply chain disruption and the best strategies to achieve competitive advantage in difficult times. Would love to connect with a supply chain expert like yourself. ",Referred to Colleague,8/23/2022,7/25/2022
Director,Distribution,Your article - Leadership starts with listening,"Not usually a fan of cold email, but felt compelled to reach out after coming across your article titled ""Leadership starts with listening."" Currently looking to source feedback on the project I'm working on from a Sr distribution leader like yourself - would love to connect.",Unresponsive,7/20/2022,
Director,Distribution,Blame my Roots festival + Bass Pro Shops,"Recently read an article featuring your name titled ""Cabela’s, Blame My Roots Festival Team Up."" Enjoyed reading your insights on the ""Blame my Roots festival"" and its recent partnership with the Bass Pro Shops. Would be honored to connect with a distribution expert like yourself. ",Unresponsive,,
VP,Supply Chain,You in the Top 100 women in supply chain list!,"Congrats on your inclusion in the ""Top 100 women in supply chain"" list! This may be a long shot, and I'm sure that you are crazy busy, but I am so impressed with your background I had to reach out in case you could spare a few moments.",Unresponsive,,
Sr. Manager,Warehouse Operations,Guadalajara to Bardstown!,"What an impressive path, not only on the globe but in your career, Ricardo. It's why I'm specifically interested in speaking with you, 1:1.",Unresponsive,10/31/2022,
VP,Supply Chain,Your participation in the Convene Conference,Came across your name in connection to your participation as a speaker at the Convene Conference. Enjoyed listening to your insights into reaching healthcare consumers and would be delighted to connect with a supply chain expert like yourself. ,Interested,7/26/2022,7/26/2022
Director,Distribution,Your participation in the North American E-Tail Operations Summit 2019,"Read about your participation in the ""North American E-Tail Operations Summit 2019."" Super impressed with your insights on how eCommerce and brick-and-mortar retail are evolving into a new commercial ecosystem, such a visionary. I know this is a long shot, but I'd love to connect with a distribution & operations leader like yourself.",Unresponsive,,
Director,Distribution,"Your insights on Best Buy’s Supply Chain, Women Are The Future","Recently read an article featuring your name titled ""For Best Buy’s Supply Chain, Women Are The Future."" Super impressed with your leadership & mentorship initiative at Best Buy. Would be honored to connect with a distribution operation expert & leader like yourself. ",Unresponsive,,
Director,Distribution,Your 15+ years in distribution ,"Super impressed with your 15+ years of distribution services career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,7/26/2022,
Director,Supply Chain,"You in the article ""These Black Leaders Are Helping Best Buy Thrive""","Came across your name while reading an article featuring your name titled ""These Black Leaders Are Helping Best Buy Thrive."" Impressed by your insights into leadership and best buy obsession for clients. Would be honored to connect with a supply chain leader like yourself. ",Unresponsive,,
Director,Supply Chain,Your seventh anniversary at Best Buy ,"I know it's a little outdated, but congrats on your seventh anniversary at Best Buy! This may be a long shot, and I'm sure that you are crazy busy, but I am so impressed with your background I had to reach out in case you could spare a few moments.",Not Interested,,
Director,Distribution,Your extensive  background in distribution & operation,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/23/2022,
Director,Distribution,Your nomination to the Chairman's Award,"Congrats on the recent nomination to the Club Chairman's Award! This may be a long shot, and I'm sure that you are crazy busy, but I am so impressed with your background I had to reach out in case you could spare a few moments.",Not Interested,7/28/2022,7/20/2022
Director,Operations,Your participation at the LogiPharma 2022 ,Impressed with your participation in the LogiPharma 2022 & Distribution career in the Pharmaceutical industry. Had to reach out!,Unresponsive,,
VP,Warehouse Operations,Question for an expert - 3 Reasons A Retail Consolidation Program Leads to Better Supply Chain Outcomes,"Read your article, ""3 Reasons A Retail Consolidation Program Leads to Better Supply Chain Outcomes."" Super impressed with your insights on the main reasons for having a consolidation program inside an organization. Would love to connect with a logistics expert like yourself. ",Unresponsive,7/20/2022,
VP,Supply Chain,Unique’ Position of Cargill supply chain ,"Came across your name while reading an article featuring your name titled ""Cargill’s ‘Unique’ Position Guiding The Supply Chain."" Super impressed with your insights into Cargill's incredible supply chain. Would be honored to connect with an operations & supply chain leader like yourself. ",Unresponsive,,
Director,Continuous Improvement,Your insights on what successful directors do differently,Read an article featuring your name about what successful directors do differently and was so impressed with your insights on the importance of knowing all people within your organization & establishing personal relationships that had to risk a cold email intro.,Attempting to Contact,,
Director,Distribution,"You on the ""2022 Women of the Channel Award""","Congrats on your recent recognition during the 2022 Women of the Channel Award! This may be a long shot, and I'm sure that you are crazy busy, but I am so impressed with your background I had to reach out in case you could spare a few moments.",Attempting to Contact,,
Director,Logistics,Your presentation at the Women Leading The Digital Supply Chain Transformation,Enjoyed your presentation at the Women Leading The Digital Supply Chain Transformation and was so impressed with your insights during the event & 21+ years of Logistics and procurement career at Colgate that had to risk a cold email intro. ,Attempting to Contact,11/21/2022,
Director,Logistics,You in the Reuters Supply Chain USA 2023,"Excited to listen to your participation in the Reuters Supply Chain USA 2023 - Meanwhile, I would love to connect. ",Unresponsive,11/20/2022,
VP,Distribution,You in the NBC Universal Diversity Reel (2009),"Recognize it is outdated & random, but recently watched a Youtube video featuring your name titled ""NBC Universal Diversity Reel (2009)"" and figured mentioning it might at least help serve to prove that I'm not a robot. Anyways, no easy way to transition, so I'll just say that I'd be grateful for your feedback on a project of mine",Unresponsive,8/30/2022,
VP,Delivery,Your participation in the Tech Talks at ISE EXPO 2021.,"Read about your Q&A during the Tech Talks at ISE EXPO 2021. Super impressed by Comcast's outstanding performance during 2020 & by the successful 10G technical milestone. I know this is a long shot, but I'd love to connect with a technical operation leader like yourself.",Unresponsive,8/6/2022,
VP,Supply Chain,Your participation in MCN Wonder Women,"Read about your participation in the event ""MCN Wonder Women."" Glad to know that there are events to focus on recognizing exceptional women leaders in the media industry. I know this is a long shot, but I'd love to connect with an experienced leader like yourself. ",Not Interested,8/5/2022,8/2/2022
Director,Continuous Improvement,"Your article - Got waste? Check, analyze, plan, do!","Enjoyed reading your article Got waste? Check, analyze, plan, do! - Great insights on using the CAPD process to address waste issues. Had to reach out!",Attempting to Contact,11/18/2022,
Director,Distribution,Your 11+ years of distribution experience in F&B,"Super impressed with your warehouse & distribution career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,8/1/2022,
VP,Supply Chain,Your work with the Atlanta Girl Scouts! ,"Came across your name while reading an article featuring your name titled Armstrong attended a meeting for Camp COE. Impressed by your leadership skills and your work supporting the Atlanta Girl Scouts. I know this is a long shot, but I'd love to connect with a leader like yourself.",Unresponsive,,
